q1,q2,q3,q4,q5,q6,q7,q8
C,C,C,C,C,C,C,C
0.0000,0.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.0000
C,C,C,C,C,C,C,C
0.1000,0.0000,-0.4737,3.1416,3.1416,-0.8046,0.0000,-0.3968
C,C,C,C,C,C,C,C
0.0000,0.0000,0.0000,1.5733,0.0000,0.0000,0.0000,0.0000
C,C,C,C,C,C,C,C
0.7536,0.0000,-0.102,3.1416,0.0000,0.0000,0.0000,-0.9010
C,C,C,C,C,C,C,C
0.0000,0.0000,0.0000,0.0000,-1.5710,0.0000,0.0000,0.0000
C,C,C,C,C,C,C,C
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
C,C,C,C,C,C,C,C
0.3543,0.0000,0.8447,0.0000,0.0000,0.4102,0.0000,-0.0440
C,C,C,C,C,C,C,C
0.0000,0.0000,0.0000,3.1416,0.0000,0.0000,0.0000,0.0000
C,C,C,C,C,C,C,C
0.0000,0.0000,0.0000,3.1416,3.1416,0.0000,0.0000,0.0000
